ID,UQNO,Q12Gender,Q13Age,Q14Population,Q15Mothaliv,Q16Mothparthh,Q17Fathaliv,Q18Fathparthh,Q19G_Parparthh,Q22Attend,Q23Eduinst,Q24AGE_GR1,Q25Miss_Day,Q26Miss_Rsn,Q27Daysabsent,Q28Everattend,Q29Whynot,Q210Age_Gr1,Q211Ageleft,Q212Whyleft,Q51AFARMWRK_W,Q51ATIME,Q51BFETCHWATER_W,Q51BTIME,Q51CFETCHWOOD_W,Q51CTIME,Q51DPRODHHGDS_W,Q51DTIME,Q51ECONSTRUC_W,Q51ETIME,Q51FCATCHFOOD_W,Q51FTIME,Q52ABEG_LSTW,Q52BBEG_LSTYR,Q53AFARMWRK_Y,Q53BFETCHWATER_Y,Q53CFETCHWOOD_Y,Q53DPRODHHGDS_Y,Q53ECONSTRUC_Y,Q53FCATCHFOOD_Y,Q54TIME,Q71ACOOK,Q71BCLEAN,Q71CLAUNDRY,Q71DCHILDMIND,Q71EMAINTENANCE,Q71FSHOP,Q71GOTHR,Q72TIME,Q73ATTEND,Q741AFTERSCH,Q742BEFORESCH,Q743WEEKEND,Q75ACLEAN,Q75BMAINTENANCE,Q75CGARDEN,Q75DMARK,Q75EHOUSE,Q75FOTHR,Q76TIME,Q77ADIF_CTCHUP,Q77BNOTIME,Q77CCONCENTRATE,Q77DPUNCTUAL,Q77ELEISURE,Q78ASUBCODE,Q78BSUBCODE,Geo_Type_Code,Province,Stratum,Metro_code
12013,799148110100000201,Male,6,African/Black,Yes,Yes,No,,No,Yes,Primary or secondary school,6.0,No,,5 to 9 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,Setswana Home Language,Urban,Gauteng,78108,GP - City of Tshwane
12014,566101990000002801,Male,10,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,Yes,No,1.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,IsiZulu Home Language,English First Additional Language,Urban,KwaZulu-Natal,50107,KZN - Non-metro
12015,668102490000011801,Female,8,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,5.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,Yes,No,1.0,Yes,Yes,No,Yes,Yes,No,No,No,No,No,0.0,No,No,No,No,No,Setswana Home Language,English First Additional Language,Traditional,North West,60205,NW - Non-metro
12016,984104660000009601,Female,12,African/Black,Yes,No,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,Yes,No,1.0,Yes,Yes,No,Yes,Yes,No,No,No,No,No,1.0,No,No,No,No,No,English First Additional Language,Mathematics,Traditional,Limpopo,90210,LP - Non-metro
12017,874108450000001701,Female,17,White,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Physical Sciences,Mathematics,Urban,Mpumalanga,80109,MP - Non-metro
12018,538101470000004201,Female,8,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,7.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,Yes,No,7.0,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,1.0,No,No,No,No,No,Mathematics,English First Additional Language,Traditional,KwaZulu-Natal,50210,KZN - Non-metro
12019,963103060000005101,Male,9,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Mathematics,Natural Sciences,Traditional,Limpopo,90205,LP - Non-metro
12020,473100900000010601,Male,11,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,7.0,Yes,Did not want to/feel like going to school,5 to 9 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Life Skills,IsiZulu Home Language,Urban,Free State,40105,FS - Non-metro
12021,968104570000002801,Female,6,African/Black,Yes,No,Do not know,,Yes,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,9.0,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Tshivenda Home Language,English First Additional Language,Traditional,Limpopo,90213,LP - Non-metro
12022,960102920000003001,Female,13,African/Black,Yes,Yes,Yes,Yes,Yes,Yes,Primary or secondary school,7.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,1.0,Yes,Yes,No,Yes,Yes,No,No,No,No,No,1.0,No,No,No,No,No,Xitsonga Home Language,History,Urban,Limpopo,90206,LP - Non-metro
12023,876100480000009301,Male,11,African/Black,No,,Yes,No,Yes,Yes,Primary or secondary school,6.0,Yes,School vacation period,Unspecified,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,Yes,No,4.0,Yes,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,Mathematics,Traditional,Mpumalanga,80203,MP - Non-metro
12024,299119550000010201,Male,9,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,Yes,Yes,No,No,Yes,No,3.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,IsiXhosa Home Language,Urban,Eastern Cape,23106,EC - Nelson Mandela Bay
12025,199123360000027601,Female,6,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Mathematics,IsiXhosa Home Language,Urban,Western Cape,11101,WC - City of Cape Town
12026,499102300000006201,Male,11,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,Yes,No,2.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,Yes,No,Yes,Yes,No,Sesotho Home Language,Mathematics,Urban,Free State,44103,FS - Mangaung
12027,460100460000008901,Male,17,African/Black,Yes,No,Yes,No,Yes,No,,,,,,Yes,,7.0,16.0,Not interested/education not     considered valuable,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,Yes,No,8.0,No,,,,,,,,,,,,,,,,,,Urban,Free State,40105,FS - Non-metro
12028,662105050000009801,Female,8,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,Yes,No,2.0,Yes,Yes,No,Yes,Yes,No,No,No,No,No,1.0,No,No,No,No,No,Life Skills,Setswana Home Language,Urban,North West,60106,NW - Non-metro
12029,466100380000014901,Male,13,African/Black,Yes,No,No,,Yes,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,Yes,No,0.0,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,0.0,No,No,No,No,No,Natural Sciences,Social Sciences,Urban,Free State,40105,FS - Non-metro
12030,360101720000020801,Male,7,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,Arts & Culture,Traditional,Northern Cape,30401,NC - Non-metro
12031,965101150000015701,Male,14,African/Black,Yes,No,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,Yes,No,2.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Natural Sciences,Mathematics,Urban,Limpopo,90101,LP - Non-metro
12032,589102830000007801,Female,17,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,7.0,Yes,Illness   ,1 to 4 days,,,,,,No,,Yes,7.0,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,40.0,Yes,Yes,Yes,Yes,No,Yes,No,14.0,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,4.0,No,No,No,No,No,IsiZulu Home Language,Mathematics,Traditional,KwaZulu-Natal,50212,KZN - Non-metro
12033,799145810000019901,Male,8,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,1.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Life Skills,English First Additional Language,Urban,Gauteng,78108,GP - City of Tshwane
12034,677104320000012001,Female,6,African/Black,Yes,Yes,Yes,No,No,Yes,"Pre-school (including day care, crèche, pre-primary, ECD centre)",,Yes,Illness   ,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Dramatic Arts,Numeracy,Urban,North West,60401,NW - Non-metro
12035,270102750000012501,Male,17,African/Black,No,,Yes,Yes,Yes,Yes,Primary or secondary school,7.0,No,,1 to 4 days,,,,,,Yes,3.0,Yes,2.0,No,,No,,No,,No,,No,No,Yes,Yes,No,No,No,No,30.0,Yes,No,No,No,No,Yes,No,2.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Agricultural Science,English First Additional Language,Traditional,Eastern Cape,20202,EC - Non-metro
12036,798132550000018401,Male,11,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,Yes,No,1.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,Mathematics,Urban,Gauteng,77106,GP - City of Johannesburg
12037,296104470000021801,Male,7,African/Black,Yes,No,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,Yes,No,1.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,Yes,No,Yes,No,No,Mathematics,Other,Traditional,Eastern Cape,20206,EC - Non-metro
12038,292105160000009801,Male,10,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,5.0,No,,0 days,,,,,,Yes,5.0,No,,No,,No,,No,,No,,No,No,Yes,No,No,No,No,No,10.0,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,Life Skills,Mathematics,Traditional,Eastern Cape,20210,EC - Non-metro
12039,869104440000019601,Male,12,African/Black,Yes,Yes,No,,No,Yes,Primary or secondary school,7.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,No,2.0,Yes,Yes,No,No,Yes,No,No,No,No,No,1.0,No,No,No,No,No,English First Additional Language,Life Skills,Urban,Mpumalanga,80102,MP - Non-metro
12040,271104800000010201,Female,6,African/Black,Yes,No,No,,Yes,Yes,"Pre-school (including day care, crèche, pre-primary, ECD centre)",,No,,0 days,,,,,,No,,Yes,1.0,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,5.0,No,Yes,No,No,No,Yes,No,1.0,Yes,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Literacy,Numeracy,Traditional,Eastern Cape,20204,EC - Non-metro
12041,538200260000046901,Male,11,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,IsiZulu Home Language,Traditional,KwaZulu-Natal,50211,KZN - Non-metro
12042,866102790000014701,Male,17,African/Black,Yes,Yes,No,,No,Yes,Primary or secondary school,7.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,Yes,Yes,No,No,Yes,No,5.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Life Orientation,English First Additional Language,Urban,Mpumalanga,80101,MP - Non-metro
12043,599141870000003301,Male,14,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,Yes,No,5.0,Yes,Yes,No,Yes,Yes,No,No,No,No,No,2.0,Yes,No,No,Yes,No,Life Skills,English First Additional Language,Urban,KwaZulu-Natal,55106,KZN - eThekwini
12044,797137320000012201,Female,12,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,No,Yes,No,5.0,Yes,Yes,No,Yes,Yes,No,No,No,No,No,1.0,No,No,No,No,No,IsiZulu Home Language,Mathematics,Urban,Gauteng,76107,GP - Ekurhuleni
12045,874103020000000401,Male,12,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,7.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,No,Yes,No,4.0,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Life Sciences,Natural Sciences,Traditional,Mpumalanga,80206,MP - Non-metro
12046,471100520000008301,Male,17,African/Black,Yes,Yes,No,,No,Yes,Primary or secondary school,7.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,1.0,Yes,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Geography,History,Urban,Free State,40105,FS - Non-metro
12047,668102490000003801,Female,16,African/Black,Yes,No,Yes,No,No,Yes,Primary or secondary school,6.0,No,,5 to 9 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,Yes,No,5.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,Economic Management Sciences,Traditional,North West,60205,NW - Non-metro
12048,864101160000013801,Male,15,African/Black,No,,No,,Yes,Yes,Primary or secondary school,7.0,Yes,Did not want to/feel like going to school,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,Yes,No,10.0,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,2.0,Yes,Yes,No,Yes,No,Arts & Culture,Natural Sciences,Urban,Mpumalanga,80101,MP - Non-metro
12049,199124360000026501,Male,6,Coloured,Yes,Yes,Yes,Yes,No,Yes,"Pre-school (including day care, crèche, pre-primary, ECD centre)",,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,No,2.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Business Studies,Dramatic Arts,Urban,Western Cape,11108,WC - City of Cape Town
12050,663100970000005001,Female,9,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,Yes,Illness   ,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,1.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,Geography,Urban,North West,60107,NW - Non-metro
12051,299110500010000501,Female,14,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,7.0,No,,1 to 4 days,,,,,,No,,Yes,2.0,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,2.0,Yes,Yes,Yes,No,No,Yes,No,4.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,2.0,No,No,No,No,Yes,Life Orientation,Mathematics,Urban,Eastern Cape,23101,EC - Nelson Mandela Bay
12052,163100380000014901,Male,5,White,Yes,Yes,Yes,Yes,Yes,Yes,"Pre-school (including day care, crèche, pre-primary, ECD centre)",,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,,,Urban,Western Cape,10102,WC - Non-metro
12053,297102640000006001,Male,15,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,Yes,2.0,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,2.0,Yes,Yes,Yes,No,No,Yes,No,3.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,Mathematics,Traditional,Eastern Cape,20216,EC - Non-metro
12054,964100820000006901,Female,7,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,7.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Dramatic Arts,English First Additional Language,Traditional,Limpopo,90213,LP - Non-metro
12055,660100190000009501,Female,14,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,5.0,Yes,Illness   ,1 to 4 days,,,,,,No,,Yes,1.0,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,1.0,Yes,Yes,Yes,No,No,Yes,No,3.0,Yes,No,No,Yes,No,No,No,No,No,No,,Yes,No,Yes,Yes,No,Setswana Home Language,Geography,Traditional,North West,60204,NW - Non-metro
12056,982102300000003201,Male,11,African/Black,No,,No,,No,Yes,Primary or secondary school,6.0,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,Yes,No,7.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,Life Orientation,Traditional,Limpopo,90202,LP - Non-metro
12057,299109350000007901,Male,16,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,Yes,No,8.0,Yes,Yes,No,Yes,No,No,No,Yes,No,No,1.0,No,No,No,No,No,English First Additional Language,Mathematics,Urban,Eastern Cape,23103,EC - Nelson Mandela Bay
12058,799150640000015601,Male,7,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,7.0,Yes,Illness   ,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,2.0,Yes,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Numeracy,Life Skills,Urban,Gauteng,78105,GP - City of Tshwane
12059,961101960000013501,Male,12,African/Black,Yes,Yes,Yes,Yes,No,Yes,Primary or secondary school,6.0,No,,0 days,,,,,,No,,Yes,1.0,No,,No,,No,,No,,No,No,No,Yes,No,No,No,No,30.0,No,No,No,No,No,Yes,No,2.0,Yes,Yes,No,No,Yes,No,No,No,No,No,1.0,No,No,No,No,No,Sepedi Home Language,Natural Sciences,Traditional,Limpopo,90205,LP - Non-metro
12060,799151010000006801,Male,12,African/Black,Yes,Yes,Yes,No,Yes,Yes,Primary or secondary school,7.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Yes,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Mathematics,English First Additional Language,Urban,Gauteng,78107,GP - City of Tshwane
12061,581101670000001401,Female,5,African/Black,Yes,No,Yes,No,Yes,Yes,"Pre-school (including day care, crèche, pre-primary, ECD centre)",,No,,1 to 4 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,English First Additional Language,Mathematics,Traditional,KwaZulu-Natal,50209,KZN - Non-metro
12062,760112640000016301,Male,10,African/Black,Yes,Yes,Yes,No,No,Yes,Primary or secondary school,6.0,No,,5 to 9 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Mathematics,English First Additional Language,Urban,Gauteng,70102,GP - Non-metro
12063,874104640000020301,Female,12,African/Black,Yes,Yes,Yes,Yes,Yes,Yes,Primary or secondary school,7.0,No,,0 days,,,,,,No,,No,,No,,No,,No,,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,1.0,Yes,Yes,No,Yes,Yes,No,No,No,No,No,1.0,No,No,No,No,No,SiSwati Home Language,Mathematics,Traditional,Mpumalanga,80208,MP - Non-metro
